date,GOOGLSMA,GOOGLClose,EBAYSMA,EBAYClose
2019-12-26 11:30:00,1347.6514,1402.5,36.27,35.425
2019-12-26 11:35:00,1347.7361,1402.51,36.2743,35.44
2019-12-26 11:40:00,1347.8069,1401.3,36.2787,35.485
2019-12-26 11:45:00,1347.8839,1402.13,36.283,35.51
2019-12-26 11:50:00,1347.9327,1400.5,36.2877,35.4864
2019-12-26 11:55:00,1348.0016,1398.61,36.2925,35.49
2019-12-26 12:00:00,1348.0711,1396.17,36.2969,35.5
2019-12-26 12:05:00,1348.1613,1392.34,36.3011,35.535
2019-12-26 12:10:00,1348.2708,1393.2847,36.305,35.51
2019-12-26 12:15:00,1348.3666,1394.1899,36.3085,35.47
2019-12-26 12:20:00,1348.4596,1395.5,36.3119,35.465
2019-12-26 12:25:00,1348.5641,1398.3145,36.3157,35.5661
2019-12-26 12:30:00,1348.6679,1397.44,36.3196,35.78
2019-12-26 12:35:00,1348.7686,1397.0,36.3234,35.78
2019-12-26 12:40:00,1348.8763,1397.1801,36.3266,35.795
2019-12-26 12:45:00,1348.9968,1396.35,36.3302,35.775
2019-12-26 12:50:00,1349.1282,1394.4567,36.334,35.775
2019-12-26 12:55:00,1349.2813,1393.96,36.3383,35.755
2019-12-26 13:00:00,1349.4618,1393.251,36.3426,35.765
2019-12-26 13:05:00,1349.646,1393.67,36.3466,35.785
2019-12-26 13:10:00,1349.8212,1391.8,36.3501,35.745
2019-12-26 13:15:00,1350.0003,1392.6949,36.3531,35.735
2019-12-26 13:20:00,1350.1982,1390.8199,36.3562,35.69
2019-12-26 13:25:00,1350.4057,1390.0,36.3588,35.7
2019-12-26 13:30:00,1350.6232,1389.92,36.361,35.71
2019-12-26 13:35:00,1350.8448,1389.49,36.3639,35.72
2019-12-26 13:40:00,1351.0906,1388.41,36.3665,35.715
2019-12-26 13:45:00,1351.3424,1389.73,36.3694,35.715
2019-12-26 13:50:00,1351.6027,1389.12,36.3724,35.71
2019-12-26 13:55:00,1351.8884,1389.0,36.3754,35.755
2019-12-26 14:00:00,1352.1781,1388.35,36.3785,35.72
2019-12-26 14:05:00,1352.4782,1389.24,36.3814,35.72
2019-12-26 14:10:00,1352.7882,1388.59,36.3843,35.74
2019-12-26 14:15:00,1353.0792,1390.1425,36.3868,35.705
2019-12-26 14:20:00,1353.3596,1387.8051,36.3895,35.69
2019-12-26 14:25:00,1353.6494,1386.98,36.391999999999996,35.665
2019-12-26 14:30:00,1353.9306,1387.19,36.3943,35.68
2019-12-26 14:35:00,1354.1699,1387.36,36.3923,35.695
2019-12-26 14:40:00,1354.3856,1387.0601,36.3899,35.745
2019-12-26 14:45:00,1354.5932,1388.5699,36.3878,35.745
2019-12-26 14:50:00,1354.7782,1388.6899,36.3858,35.75
2019-12-26 14:55:00,1354.9733,1389.4899,36.3838,35.73
2019-12-26 15:00:00,1355.1579,1389.61,36.3825,35.75
2019-12-26 15:05:00,1355.3342,1390.36,36.38,35.755
2019-12-26 15:10:00,1355.4971,1389.3199,36.3773,35.755
2019-12-26 15:15:00,1355.6612,1391.66,36.3752,35.75
2019-12-26 15:20:00,1355.8178,1390.17,36.3729,35.765
2019-12-26 15:25:00,1355.9891,1389.0699,36.3713,35.715
2019-12-26 15:30:00,1356.1677,1387.35,36.3696,35.71
2019-12-26 15:35:00,1356.3531,1387.67,36.367,35.71
2019-12-26 15:40:00,1356.5709,1387.8101,36.3643,35.735
2019-12-26 15:45:00,1356.7879,1388.63,36.3624,35.74
2019-12-26 15:50:00,1356.9804,1386.9241,36.3604,35.72
2019-12-26 15:55:00,1357.1777,1388.6801,36.358000000000004,35.735
2019-12-26 16:00:00,1357.3691,1390.4301,36.3564,35.74
2019-12-27 09:35:00,1357.5666,1391.03,36.354,35.75
2019-12-27 09:40:00,1357.6837,1390.22,36.352,35.77
2019-12-27 09:45:00,1357.7602,1390.2823,36.3501,35.795
2019-12-27 09:50:00,1357.8199,1390.29,36.3489,35.78
